ID,Area,Location,No_of_Bedrooms,New/Resale,Gymnasium,Lift_Available,Car_Parking,Maintenance_Staff,24x7_Security,Children_Play_Area,Clubhouse,Intercom,Landscaped_Gardens,Indoor_Games,Gas_Connection,Jogging_Track,Swimming_Pool,Price
3158,2700,Panvel,4,0,1,1,1,0,1,1,1,1,1,1,1,1,1,13100000
3159,1400,Panvel,2,0,1,1,1,0,1,1,1,1,1,1,1,1,1,6900000
3160,1800,Panvel,3,0,1,1,0,0,0,1,1,1,0,0,0,0,1,9300000
3161,1800,Panvel,3,0,1,1,0,0,0,1,1,1,0,0,0,0,1,9500000
3162,600,Panvel,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,4450000
3163,700,Panvel,1,0,1,1,0,0,0,1,1,1,0,0,0,0,1,3800000
3164,1400,Panvel,2,0,1,1,0,0,0,1,1,1,0,0,1,0,1,6800000
3165,650,Borivali West,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,13500000
3166,680,Dahisar West,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12000000
3167,550,Dahisar West,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8200000
3168,780,Dahisar East,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11500000
3169,1600,Borivali West,3,1,1,0,1,0,1,1,1,1,1,0,0,1,1,37500000
3170,625,Dahisar West,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11000000
3171,950,Borivali West,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18000000
3172,990,Dahisar West,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15000000
3173,700,Borivali East,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14000000
3174,815,Dahisar East,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12500000
3175,570,Borivali West,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12500000
3176,1160,Borivali West,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25000000
3177,485,Dahisar East,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8200000
3178,800,Dahisar West,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,14000000
3179,768,Malad East,2,1,1,1,0,0,1,1,1,1,1,1,0,1,1,21800000
3180,1055,Malad East,3,1,1,1,0,0,1,1,1,0,1,1,0,1,1,27500000
3181,1055,Malad East,3,1,1,1,0,0,1,1,1,1,1,1,0,1,1,27500000
3182,1466,Malad East,4,1,1,1,0,0,1,1,1,1,1,1,0,1,1,43500000
3183,1906,Malad East,4,1,1,1,0,0,1,1,1,1,1,1,0,1,1,47500000
3184,3100,Andheri West,5,0,1,1,1,0,1,1,1,1,1,1,1,1,1,150000000
3185,709,Goregaon East,2,1,1,1,0,0,0,1,1,1,0,0,0,0,1,19700000
3186,709,Goregaon East,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,19700000
3187,980,Goregaon East,3,1,1,1,0,0,0,1,1,1,0,0,0,0,1,27100000
3188,1418,Goregaon East,4,1,1,1,0,0,0,1,1,1,0,0,0,0,1,35400000
3189,1050,Andheri East,2,0,1,1,1,0,1,1,1,1,0,0,1,1,1,28500000
3190,627,Goregaon West,2,1,1,1,0,0,0,1,1,1,1,0,0,1,1,16100000
3191,894,Goregaon West,3,1,1,1,0,0,0,1,1,1,1,0,0,1,1,21700000
3192,480,Dahisar,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6200000
3193,2800,Borivali East,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45199999
3194,420,Borivali West,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7500000
3195,1400,Malad West,2,0,1,1,1,0,1,1,1,1,0,0,1,1,0,18000000
3196,955,Wadala East,2,1,1,1,0,0,0,1,1,1,0,0,0,0,1,26000000
3197,2525,Andheri West,4,0,1,1,1,0,1,1,1,1,1,0,1,1,1,39800000
3198,1350,Ville Parle West,3,0,0,1,0,0,0,1,0,1,0,0,1,0,0,42500000
3199,1440,Panvel,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11700000
3200,1440,Panvel,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,11700000
3201,650,Powai,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,12600000
3202,600,Powai,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,10000000
3203,585,Powai,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,10000000
3204,1220,Thane West,2,0,1,1,0,0,0,1,1,1,0,0,1,0,1,16500000
3205,650,Borivali West,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9500000
3206,900,Chembur,2,0,0,1,1,1,0,0,0,1,1,0,1,0,0,22500000
